time,output,inflation,nominal,real,delta log M
-5,0.000,0.000,0.020,0.020,0
-4,0.000,0.000,0.020,0.020,0
-3,0.000,0.000,0.020,0.020,0
-2,0.000,0.000,0.020,0.020,0
-1,0.000,0.000,0.020,0.020,0
0,-0.133,0.000,0.153,0.153,-0.2
1,-0.124,-0.027,0.118,0.144,0
2,-0.107,-0.025,0.102,0.127,0
3,-0.092,-0.021,0.090,0.112,0
4,-0.079,-0.018,0.080,0.099,0
5,-0.067,-0.016,0.071,0.087,0
6,-0.057,-0.013,0.064,0.077,0
7,-0.049,-0.011,0.058,0.069,0
8,-0.042,-0.010,0.052,0.062,0
9,-0.036,-0.008,0.048,0.056,0
10,-0.031,-0.007,0.044,0.051,0
11,-0.026,-0.006,0.040,0.046,0
12,-0.023,-0.005,0.037,0.043,0
13,-0.019,-0.005,0.035,0.039,0
14,-0.016,-0.004,0.033,0.036,0
15,-0.014,-0.003,0.031,0.034,0
16,-0.012,-0.003,0.029,0.032,0
17,-0.010,-0.002,0.028,0.030,0
18,-0.009,-0.002,0.027,0.029,0
19,-0.008,-0.002,0.026,0.028,0
20,-0.006,-0.002,0.025,0.026,0